instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
Copper Mountain Community College,CA,8,2,1,,,1652,,,,,,,
Coppin State University,MD,2,1,1,25407,20146,3133,0,83,476,36,21,36,35
Corban University,OR,8,1,1,41632,41632,1125,2,72,202,32,24,34,35
Corcoran College of Art and Design,DC,2,1,1,,,,0,76,65,27,29,22,29
Corinth Academy of Cosmetology,MS,5,2,2,,,128,,,,,,,
Cornell College,IA,4,1,1,50525,50525,1086,0,0,262,64,18,64,64
Cornell University,NY,2,1,1,63606,63606,21679,781,2328,3570,16,52,14,17
Cornerstone University,MI,3,1,1,37020,37020,2770,0,214,461,68,23,68,68
Corning Community College,NY,2,2,1,18800,14650,4520,,,,,,,
Cornish College of the Arts,WA,8,1,1,50650,50650,767,0,0,165,59,30,55,61
Cortiva Institute-Boston,MA,1,3,2,,,166,,,,,,,
Cortiva Institute-Chicago,IL,3,3,2,,,139,,,,,,,
Cortiva Institute-Florida,FL,5,3,2,,,187,,,,,,,
Cortiva Institute-New Jersey,NJ,2,3,2,,,71,,,,,,,
Cortiva Institute-Pennsylvania School of Muscle Therapy,PA,2,3,2,,,161,,,,,,,
Cortiva Institute-Scottsdale,AZ,6,3,2,,,87,,,,,,,
Cortiva Institute-Seattle,WA,8,3,2,,,118,,,,,,,
Cortiva Institute-Seattle,WA,8,3,2,,,247,,,,,,,
Cortiva Institute-Tucson,AZ,6,3,2,,,130,,,,,,,
Cosmetic Arts Institute,SC,5,3,2,,,44,,,,,,,
Cosmetology & Spa Academy,IL,3,3,2,,,177,,,,,,,
Cosmetology Academy of Texarkana,TX,6,3,2,,,89,,,,,,,
Cosmetology Career Center LLC,TX,6,3,2,,,248,,,,,,,
Cosmetology Career Institute,TX,6,3,2,,,98,,,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN,4,3,2,,,20,,,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN,4,3,2,,,20,,,,,,,
Cosmetology College of Franklin County,MO,4,3,2,,,16,,,,,,,
Cosmetology Concepts Institute,MO,4,3,2,,,53,,,,,,,
Cosmetology School of Arts and Sciences,ID,7,2,2,,,32,,,,,,,
Cosmetology Schools Inc,OK,6,3,2,,,30,,,,,,,
Cosmetology Training Center,LA,5,3,2,,,116,,,,,,,
Cosmix School of Makeup Artistry,FL,5,3,2,,,92,,,,,,,
Cosmo Beauty Academy,CA,8,3,2,,,81,,,,,,,
Cosmo Factory Cosmetology Academy,CA,8,3,2,,,19,,,,,,,
Cosmopolitan Beauty and Tech School,VA,5,3,2,,,110,,,,,,,
Cosmopolitan Beauty and Tech School,MD,2,3,2,,,26,,,,,,,
Cosmotech School of Cosmetology,ME,1,3,2,,,41,,,,,,,
Cossatot Community College of the University of Arkansas,AR,5,2,1,,,1611,,,,,,,
Cosumnes River College,CA,8,2,1,,,14467,,,,,,,
Cottey College,MO,4,1,1,28750,28750,269,0,0,19,71,38,,71
County College of Morris,NJ,2,2,1,,,8096,,,,,,,
Court Reporting Institute of Dallas,TX,6,2,1,,,38,,,,,,,
Court Reporting Institute of Louisiana,LA,5,2,1,,,35,,,,,,,
Court Reporting Institute of St Louis,MO,4,2,1,,,247,,,,,,,
Covenant College,GA,5,1,1,41690,41690,1173,0,18,243,96,42,93,98
Covenant School of Nursing and Allied Health,TX,6,2,2,,,327,,,,,,,
Covenant Theological Seminary,MO,4,1,1,,,541,18,155,0,,,,
Cowley County Community College,KS,4,2,1,15272,13815,3376,,,,,,,
Cox College,MO,4,1,1,,,807,0,19,120,90,75,92,89
Coyne College,IL,3,2,1,,,611,,,,,,,
Cozmo The School,FL,5,3,2,,,66,,,,,,,
Crafton Hills College,CA,8,2,1,,,5932,,,,,,,
Cranbrook Academy of Art,MI,3,1,1,,,156,0,75,0,,,,
Craven Community College,NC,5,2,1,,,2991,,,,,,,
Crawford County Career and Technical Center Practical Nursing Program,PA,2,3,2,,,27,,,,,,,
Creations College of Cosmetology,MS,5,3,2,,,27,,,,,,,
Creative Images Institute of Cosmetology-North Dayton,OH,3,2,2,,,196,,,,,,,
Creative Images Institute of Cosmetology-South Dayton,OH,3,2,2,,,96,,,,,,,
Creative Touch Cosmetology School,IL,3,3,2,,,7,,,,,,,
Creighton University,NE,4,1,1,49356,49356,8236,705,371,993,77,24,74,78
Crescent City Bartending School,LA,5,3,2,,,405,,,,,,,
Crevier's School of Cosmetology,MT,7,2,2,,,82,,,,,,,
Crimson Technical College,CA,8,2,2,,,414,,,,,,,
Criswell College,TX,6,1,1,,,343,0,17,15,,,,
Crossett School of Cosmetology,AR,5,3,2,,,18,,,,,,,
Crossroads Bible College,IN,3,1,1,,,241,0,0,28,,,,
Crossroads College,MN,4,1,1,26710,26710,109,0,0,24,21,61,25,18
Crouse Hospital College of Nursing,NY,2,2,1,28844,22581,345,,,,48,54,78,44
Crowder College,MO,4,2,1,11530,11530,5710,,,,,,,
Crowley's Ridge College,AR,5,1,1,20860,20860,224,0,0,4,,,,
Crowley's Ridge Technical Institute,AR,5,3,2,,,212,,,,,,,
Crown College,MN,4,1,1,36240,36240,1278,0,41,194,55,36,55,55
CRU Institute,CA,8,3,2,,,49,,,,,,,
Cuesta College,CA,8,2,1,,,9221,,,,,,,
Culinary Institute Inc,TX,6,2,1,,,430,,,,,,,
Culinary Institute of America,NY,2,1,1,42947,42947,2778,0,0,353,90,50,88,91
Culpeper Cosmetology Training Center,VA,5,3,2,,,48,,,,,,,
Culver-Stockton College,MO,4,1,1,35932,35932,971,0,0,145,59,18,58,60
Cumberland County College,NJ,2,2,1,,,3844,,,,,,,
Cumberland University,TN,5,1,1,34240,34240,1481,0,120,340,47,56,51,44
CUNY Bernard M Baruch College,NY,2,1,1,35369,28559,18090,0,1467,3082,25,24,26,24
CUNY Borough of Manhattan Community College,NY,2,2,1,,,26606,,,,,,,
CUNY Bronx Community College,NY,2,2,1,,,11506,,,,,,,
CUNY Brooklyn College,NY,2,1,1,31934,25124,17390,0,961,2433,32,18,31,32
CUNY City College,NY,2,1,1,34087,27277,15579,17,953,2115,34,18,31,37
CUNY Graduate School and University Center,NY,2,1,1,45368,38558,7013,528,767,311,,,,
CUNY Hostos Community College,NY,2,2,1,,,6985,,,,,,,
CUNY Hunter College,NY,2,1,1,27497,20687,23112,0,2053,2866,30,22,30,30
CUNY John Jay College of Criminal Justice,NY,2,1,1,38580,31770,15045,0,534,2578,34,41,32,36
CUNY Kingsborough Community College,NY,2,2,1,,,17758,,,,,,,
CUNY LaGuardia Community College,NY,2,2,1,,,20231,,,,,,,
CUNY Lehman College,NY,2,1,1,31972,25162,12398,0,794,1915,23,15,22,24
CUNY Medgar Evers College,NY,2,1,1,,,6701,0,0,552,91,15,87,94
CUNY New York City College of Technology,NY,2,1,1,,,17374,0,0,1054,77,22,85,67
CUNY Queens College,NY,2,1,1,33097,26287,19310,0,1180,3147,37,21,37,37
CUNY Queensborough Community College,NY,2,2,1,,,16182,,,,,,,
CUNY School of Law at Queens College,NY,2,1,1,,,325,150,0,0,,,,
CUNY System Office,NY,2,1,1,,,,,,,,,,
CUNY York College,NY,2,1,1,,,8493,0,21,1036,35,24,36,35
Curry College,MA,1,1,1,52235,52235,3141,0,113,589,67,14,63,70
Curtis Institute of Music,PA,2,1,1,21143,21143,176,0,3,15,5,100,7,3
Curve Metric School of Hair Design,IL,3,3,2,,,47,,,,,,,
Cutter's Edge School of Cosmetology,OK,6,3,2,,,24,,,,,,,
Cuyahoga Community College District,OH,3,2,1,,,27084,,,,,,,
Cuyahoga Valley Career Center,OH,3,3,2,,,106,,,,100,82,100,100
Cuyamaca College,CA,8,2,1,,,8644,,,,,,,
CVPH Medical Center School of Radiologic Technology,NY,2,2,2,,,23,,,,,,,
CyberTex Institute of Technology,TX,6,3,2,,,97,,,,,,,
Cypress College,CA,8,2,1,,,15816,,,,,,,
D & L Academy of Hair Design,ID,7,2,2,,,24,,,,,,,
D A Dorsey Educational Center,FL,5,2,2,,,217,,,,,,,
D G Erwin Technical Center,FL,5,2,2,,,751,,,,,,,
D'Jay's School of Beauty Arts and Sciences,LA,5,3,2,,,43,,,,,,,
D'Youville College,NY,2,1,1,38282,38282,3067,136,260,409,79,28,79,79
Dabney S Lancaster Community College,VA,5,2,1,,,1257,,,,,,,
Dade Medical College-Hollywood,FL,5,2,1,,,248,,,,,,,
Dade Medical College-Homestead,FL,5,2,1,,,292,,,,,,,
Dade Medical College-Jacksonville,FL,5,2,1,,,233,,,,,,,
Dade Medical College-Miami,FL,5,1,1,,,1037,0,0,16,,,,
Dade Medical College-Miami Lakes,FL,5,2,1,,,439,,,,,,,
Dade Medical College-West Palm Beach,FL,5,2,1,,,263,,,,,,,
Daemen College,NY,2,1,1,39290,39290,2800,60,365,491,49,28,47,50
Dakota College at Bottineau,ND,4,2,1,16644,14993,753,,,,,,,
Dakota County Technical College,MN,4,2,1,,,2910,,,,,,,
Dakota State University,SD,4,1,1,20965,18485,3047,7,65,233,83,49,84,82
Dakota Wesleyan University,SD,4,1,1,34270,34270,870,0,37,118,70,36,68,74
Dallas Baptist University,TX,6,1,1,35722,35722,5445,20,590,728,42,44,43,42
Dallas Barber & Stylist College,TX,6,3,2,,,141,,,,,,,
Dallas Christian College,TX,6,1,1,27192,27192,309,0,0,50,55,37,57,53
Dallas County Community College District,TX,6,2,1,,,,,,,,,,
Dallas Institute of Funeral Service,TX,6,2,1,,,128,,,,,,,
Dallas Nursing Institute,TX,6,2,1,,,160,,,,,,,
Dallas Theological Seminary,TX,6,1,1,,,2088,27,382,0,,,,
Dalton State College,GA,5,1,1,22238,14182,4854,0,0,286,,,,
Dance Theatre of Harlem Inc,NY,2,3,2,,,3,,,,48,55,50,47
Daniel Webster College,NH,1,1,1,31400,31400,732,0,89,87,60,35,61,56
Danville Area Community College,IL,3,2,1,,,3207,,,,,,,
Danville Community College,VA,5,2,1,,,3982,,,,,,,
Danville Regional Medical Center School of Health Professions,VA,5,2,1,,,7,,,,,,,
Daoist Traditions College of Chinese Medical Arts,NC,5,1,1,,,76,0,19,0,,,,
Dartmouth College,NH,1,1,1,65133,65133,6298,185,629,1116,10,49,10,9
Darton State College,GA,5,1,1,21172,15246,5623,0,0,17,,,,
Davenport University,MI,3,1,1,28132,28132,8715,0,397,1039,92,46,93,91
David Pressley School of Cosmetology,MI,3,3,2,,,181,,,,,,,
David's Academy of Beauty,CA,8,3,2,,,90,,,,,,,
David-Curtis School of Floral Design,OH,3,3,2,,,,,,,,,,
Davidson College,NC,5,1,1,60921,60921,1770,0,0,471,26,40,29,23
Davidson County Community College,NC,5,2,1,,,4102,,,,,,,
Davis & Elkins College,WV,5,1,1,40412,40412,846,0,0,130,57,46,53,62
Davis Applied Technology College,UT,7,2,2,,,3345,,,,,,,
Davis College,NY,2,1,1,21440,21440,396,0,0,33,59,74,52,64
Davis College,OH,3,2,1,,,193,,,,,,,
Dawn Career Institute Inc,DE,2,3,2,,,226,,,,,,,
Dawson Community College,MT,7,2,1,21094,15471,305,,,,,,,
Day Spa Career College,MS,5,2,2,,,35,,,,,,,
Daymar College-Bellevue,KY,5,1,1,,,29,0,0,2,,,,
Daymar College-Bowling Green,KY,5,1,1,,,239,0,0,15,,,,
Daymar College-Chillicothe,OH,3,2,1,,,38,,,,,,,
Daymar College-Jackson,OH,3,2,1,,,34,,,,,,,
Daymar College-Lancaster,OH,3,2,1,,,45,,,,,,,
Daymar College-Louisville,KY,5,1,1,,,21,0,0,6,,,,
Daymar College-Louisville,KY,5,1,1,,,1,0,0,0,,,,
Daymar College-Madisonville,KY,5,2,1,,,25,,,,,,,
Daymar College-New Boston,OH,3,2,1,,,52,,,,,,,
Daymar College-Online,KY,5,1,1,,,257,0,0,13,,,,
Daymar College-Owensboro,KY,5,1,1,,,94,0,0,2,,,,
Daymar College-Paducah Main,KY,5,1,1,,,47,0,0,11,,,,
Daymar College-Scottsville,KY,5,2,1,,,,,,,,,,
Daymar Institute-Clarksville,TN,5,1,1,,,513,0,0,26,,,,
Daymar Institute-Murfreesboro,TN,5,1,1,,,131,0,0,14,,,,
Daymar Institute-Nashville,TN,5,1,1,,,89,0,0,9,,,,
Dayton Barber College,OH,3,2,2,,,55,,,,,,,
Dayton School of Medical Massage,OH,3,3,2,,,257,,,,,,,
Daytona College,FL,5,2,1,,,276,,,,,,,
Daytona State College,FL,5,1,1,,,13248,0,0,411,,,,
DCI Career Institute,PA,2,3,2,,,94,,,,,,,
De Anza College,CA,8,2,1,,,23104,,,,,,,
De Wolff College Hair Styling and Cosmetology,NM,6,3,2,,,80,,,,,,,
Dean College,MA,1,1,1,51650,51650,1325,0,0,88,68,31,68,69
Dean Institute of Technology,PA,2,2,1,,,166,,,,,,,
Debutantes School of Cosmetology and Nail Technology,IL,3,3,2,,,48,,,,,,,
Defiance College,OH,3,1,1,43188,43188,920,0,37,174,72,20,73,69
Del Mar College,TX,6,2,1,,,10439,,,,,,,
Delaware Area Career Center,OH,3,3,2,,,140,,,,,,,
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,NY,2,3,2,,,27,,,,58,100,0,60
Delaware College of Art and Design,DE,2,2,1,39925,39925,185,,,,58,40,67,55
Delaware County Community College,PA,2,2,1,,,12459,,,,,,,
Delaware County Technical School-Practical Nursing Program,PA,2,3,2,,,41,,,,100,100,100,100
Delaware Learning Institute of Cosmetology,DE,2,3,2,,,70,,,,,,,
Delaware State University,DE,2,1,1,30218,21862,4397,6,130,550,42,28,38,44
Delaware Technical Community College-Central Office,DE,2,2,1,,,,,,,,,,
Delaware Technical Community College-Owens,DE,2,2,1,,,4296,,,,,,,
Delaware Technical Community College-Stanton/Wilmington,DE,2,2,1,,,6700,,,,,,,
Delaware Technical Community College-Terry,DE,2,2,1,,,2939,,,,,,,
Delaware Valley College,PA,2,1,1,48963,48963,2137,0,84,377,68,32,63,74
Delgado Community College,LA,5,2,1,,,17152,,,,,,,
Dell'Arte International School of Physical Theatre,CA,8,1,1,,,42,0,4,0,67,50,100,50
Delmarva Beauty Academy,MD,2,3,2,,,66,,,,,,,
Delta Beauty College,MS,5,2,2,,,48,,,,,,,
Delta College,MI,3,2,1,,,9842,,,,,,,
Delta College Inc,LA,5,3,2,,,186,,,,,,,
Delta College of Arts & Technology,LA,5,2,1,,,414,,,,,,,
Delta College of Arts & Technology-Lafayette Campus,LA,5,3,2,,,245,,,,,,,
Delta College-Slidell Campus,LA,5,3,2,,,187,,,,,,,
Delta Montrose Technical College,CO,7,3,2,,,389,,,,,,,
Delta School of Business and Technology,LA,5,2,1,,,208,,,,,,,
Delta State University,MS,5,1,1,18887,18887,3614,6,299,437,89,81,84,93
Delta Technical College,MS,5,3,2,,,662,,,,,,,
Demmons School of Beauty,LA,5,3,2,,,36,,,,,,,
Denham Springs Beauty School,LA,5,3,2,,,83,,,,,,,
Denison University,OH,3,1,1,58700,58700,2278,0,0,518,46,27,43,48
Denmark Technical College,SC,5,2,1,14816,12392,1678,,,,,,,
Dental Assistant Pro LLC-Columbus,OH,3,3,2,,,18,,,,,,,
Dental Assistant Pro-Lebanon,OH,3,3,2,,,9,,,,,,,
Denver School of Nursing,CO,7,1,1,,,790,0,0,203,,,,
Denver Seminary,CO,7,1,1,,,944,8,144,0,,,,
DePaul University,IL,3,1,1,50791,50791,23799,317,2549,3748,60,20,58,61
DePauw University,IN,3,1,1,55896,55896,2215,0,0,535,61,21,58,65
Dermal Science International Aesthetics and Nail Academy,VA,5,3,2,,,22,,,,,,,
Des Moines Area Community College,IA,4,2,1,21802,17632,23526,,,,,,,
Des Moines University-Osteopathic Medical Center,IA,4,1,1,,,1662,370,154,0,,,,
DeSales University,PA,2,1,1,49652,49652,3190,5,233,557,76,21,74,77
Design Institute of San Diego,CA,8,1,1,,,171,0,0,32,,,,
Design's School of Cosmetology,CA,8,3,2,,,49,,,,,,,
Designer Barber & Stylist School,AR,5,3,2,,,50,,,,,,,
Detroit Business Institute-Downriver,MI,3,3,2,,,73,,,,,,,
DeVry College of New York,NY,2,1,1,,,2026,0,205,189,76,83,78,70
DeVry University-Administrative Office,IL,3,1,1,,,,,,,,,,
DeVry University-Arizona,AZ,6,1,1,,,1318,0,130,254,88,66,90,85
DeVry University-California,CA,8,1,1,,,7932,0,662,1376,84,76,86,80
DeVry University-Colorado,CO,7,1,1,,,964,0,105,172,74,88,83,59
DeVry University-Florida,FL,5,1,1,,,2770,0,370,511,73,82,72,75
DeVry University-Georgia,GA,5,1,1,,,3177,0,420,456,81,88,86,75
DeVry University-Illinois,IL,3,1,1,,,24220,0,2412,2691,70,91,74,67
DeVry University-Indiana,IN,3,1,1,,,470,0,80,52,77,85,88,55
DeVry University-Kentucky,KY,5,1,1,,,,0,6,20,54,100,63,40
DeVry University-Maryland,MD,2,1,1,,,44,0,32,13,82,93,82,83
DeVry University-Michigan,MI,3,1,1,,,289,0,24,21,67,86,62,75
DeVry University-Minnesota,MN,4,1,1,,,370,0,70,44,71,89,71,71
DeVry University-Missouri,MO,4,1,1,,,891,0,136,168,78,56,79,75
DeVry University-Nevada,NV,8,1,1,,,414,0,49,59,80,93,76,86
DeVry University-New Jersey,NJ,2,1,1,,,1546,0,74,177,80,66,81,75
DeVry University-North Carolina,NC,5,1,1,,,619,0,57,88,72,98,61,89
DeVry University-Ohio,OH,3,1,1,,,2971,0,281,462,78,76,81,74
DeVry University-Oklahoma,OK,6,1,1,,,197,0,23,27,79,78,76,83
DeVry University-Oregon,OR,8,1,1,,,99,0,37,29,50,100,0,100
DeVry University-Pennsylvania,PA,2,1,1,,,1180,0,129,205,81,76,82,79
DeVry University-Tennessee,TN,5,1,1,,,446,0,66,32,67,79,61,75
DeVry University-Texas,TX,6,1,1,,,2855,0,365,538,83,78,84,82
DeVry University-Utah,UT,7,1,1,,,38,0,21,20,75,89,86,60
DeVry University-Virginia,VA,5,1,1,,,1239,0,178,186,80,82,82,74
DeVry University-Washington,WA,8,1,1,,,564,0,74,101,78,86,78,77
DeVry University-Wisconsin,WI,3,1,1,,,248,0,51,19,45,100,43,50
Diablo Valley College,CA,8,2,1,,,20089,,,,,,,
Diamond Beauty College,CA,8,3,2,,,146,,,,,,,
Diamonds Cosmetology College,TX,6,3,2,,,70,,,,,,,
Dickinson College,PA,2,1,1,62289,62289,2364,0,0,583,44,24,42,46
Dickinson State University,ND,4,1,1,19045,16600,1479,0,0,275,49,81,48,50
Diesel Driving Academy-Baton Rouge,LA,5,3,2,,,290,,,,,,,
Diesel Driving Academy-Shreveport,LA,5,3,2,,,242,,,,,,,
DigiPen Institute of Technology,WA,8,1,1,,,1018,0,28,121,66,66,66,66
Digital Film Academy,NY,2,3,2,,,88,,,,,,,
Digital Media Arts College,FL,5,1,1,,,317,0,15,25,,,,
DiGrigoli School of Cosmetology,MA,1,3,2,,,24,,,,,,,
Dillard University,LA,5,1,1,30806,30806,1200,0,0,186,35,14,33,37
Diman Regional Technical Institute,MA,1,3,2,,,80,,,,34,43,8,41
Dine College,AZ,6,1,1,12015,12015,1488,0,0,7,,,,
Divers Academy International,NJ,2,3,2,,,211,,,,,,,
Divers Institute of Technology,WA,8,3,2,,,232,,,,,,,
Diversified Vocational College,CA,8,3,2,,,679,,,,,,,
Divine Crown Academy of Cosmetology,PA,2,3,2,,,29,,,,,,,
Divine Word College,IA,4,1,1,18622,18622,96,0,0,11,100,65,100,100
Dixie Applied Technology College,UT,7,3,2,,,248,,,,,,,
Dixie State University,UT,7,1,1,25882,17546,8570,0,0,509,,,,
Doane College-Crete,NE,4,1,1,40400,40400,1065,0,0,228,72,22,67,77
Doane College-Lincoln Grand Island and Master,NE,4,1,1,,,1559,0,343,239,,,,
Dodge City Community College,KS,4,2,1,13152,12852,1768,,,,,,,
Dominican College of Blauvelt,NY,2,1,1,41032,41032,1980,128,61,346,72,25,73,71
Dominican School of Philosophy & Theology,CA,8,1,1,,,80,0,15,0,,,,
Dominican University,IL,3,1,1,41160,41160,3498,4,574,418,60,24,58,61
Dominican University of California,CA,8,1,1,60016,60016,2001,0,194,390,78,17,81,76
Dominion School of Hair Design,VA,5,3,2,,,37,,,,,,,
Don Roberts Beauty School,IN,3,3,2,,,61,,,,,,,
Don Roberts School of Hair Design,IN,3,3,2,,,42,,,,,,,
Dongguk University-Los Angeles,CA,8,1,1,,,171,0,72,0,,,,
Donna's Academy of Hair Design,MO,4,3,2,,,31,,,,,,,
Donnelly College,KS,4,1,1,18411,18411,463,0,0,14,,,,
Dordt College,IA,4,1,1,40100,40100,1459,0,21,299,75,37,75,75
Dorothea Hopfer School of Nursing-Mt Vernon Hospital,NY,2,2,1,,,,,,,,,,
Dorsey Business Schools-Dearborn,MI,3,3,2,,,232,,,,,,,
Dorsey Business Schools-Farmington Hills,MI,3,3,2,,,75,,,,,,,
Dorsey Business Schools-Lansing,MI,3,3,2,,,142,,,,,,,
Dorsey Business Schools-Madison Heights,MI,3,3,2,,,197,,,,,,,
Dorsey Business Schools-Roseville,MI,3,3,2,,,480,,,,,,,
Dorsey Business Schools-Roseville Culinary Academy,MI,3,3,2,,,163,,,,,,,
Dorsey Business Schools-Saginaw,MI,3,3,2,,,207,,,,,,,
Dorsey Business Schools-Southgate,MI,3,3,2,,,143,,,,,,,
Dorsey Business Schools-Waterford Pontiac,MI,3,3,2,,,188,,,,,,,
Dorsey Business Schools-Wayne,MI,3,3,2,,,139,,,,,,,
Douglas Education Center,PA,2,2,1,,,267,,,,,,,
Douglas J Aveda Institute,MI,3,3,2,,,826,,,,,,,
Dowling College,NY,2,1,1,44672,44672,2453,16,398,428,78,19,76,81
Downey Adult School,CA,8,2,2,,,1210,,,,,,,
Dragon Rises College of Oriental Medicine,FL,5,1,1,,,,0,17,0,,,,
Drake College of Business-Elizabeth,NJ,2,3,2,,,849,,,,,,,
Drake College of Business-Newark,NJ,2,3,2,,,1023,,,,,,,
Drake University,IA,4,1,1,46316,46316,5062,269,355,842,66,22,64,67
Drew University,NJ,2,1,1,61016,61016,2113,72,146,349,77,15,77,78
Drexel University,PA,2,1,1,67665,67665,26359,644,2494,3083,81,8,82,81
Drury University,MO,4,1,1,36241,36241,4215,0,193,777,81,37,82,80
Du Bois Business College-Du Bois,PA,2,2,1,19505,19505,90,,,,,,,
Du Bois Business College-Huntingdon,PA,2,2,1,,,80,,,,,,,
Du Bois Business College-Oil City,PA,2,2,1,,,29,,,,,,,
duCret School of Arts,NJ,2,2,2,,,41,,,,100,72,100,100
Duke University,NC,5,1,1,63999,63999,15856,1136,2239,1883,13,42,14,13
Duluth Business University,MN,4,1,1,,,182,0,0,5,,,,
Dunwoody College of Technology,MN,4,1,1,,,1070,0,0,32,72,61,76,57
Duquesne University,PA,2,1,1,46270,46270,9648,510,830,1240,74,31,77,73
Durham Beauty Academy,NC,5,3,2,,,78,,,,,,,
Durham Technical Community College,NC,5,2,1,,,5035,,,,,,,
Dutchess BOCES-Practical Nursing Program,NY,2,3,2,,,155,,,,67,70,64,67
Dutchess Community College,NY,2,2,1,20855,17655,9905,,,,,,,
DuVall's School of Cosmetology,TX,6,3,2,,,89,,,,,,,
Dyersburg State Community College,TN,5,2,1,,,2847,,,,,,,
E Q School of Hair Design,IA,4,2,2,,,57,,,,,,,
Eagle Gate College-Layton,UT,7,1,1,,,217,0,0,20,,,,
Eagle Gate College-Murray,UT,7,1,1,,,238,0,0,18,,,,
Eagle Gate College-Salt Lake City,UT,7,2,1,,,131,,,,,,,
Earlham College,IN,3,1,1,54470,54470,1076,0,25,263,64,21,59,68
East Arkansas Community College,AR,5,2,1,,,1268,,,,,,,
East Carolina University,NC,5,1,1,36299,21102,27511,162,1502,4096,62,42,62,62
East Central College,MO,4,2,1,,,3606,,,,,,,
East Central Community College,MS,5,2,1,12560,10460,2544,,,,,,,
East Central University,OK,6,1,1,21980,14067,4428,0,278,682,98,64,97,99
East Georgia State College,GA,5,1,1,23334,15926,2910,0,0,2,,,,
East Los Angeles College,CA,8,2,1,,,36012,,,,,,,
East Mississippi Community College,MS,5,2,1,13465,11265,4127,,,,,,,
East San Gabriel Valley Regional Occupational Program,CA,8,2,1,,,581,,,,,,,
East Stroudsburg University of Pennsylvania,PA,2,1,1,32063,21613,6819,0,189,1245,78,27,79,78
East Tennessee State University,TN,5,1,1,39493,23149,14434,259,643,2308,86,46,86,87
East Texas Baptist University,TX,6,1,1,34923,34923,1299,0,20,175,74,66,69,78
East Valley Institute of Technology,AZ,6,3,2,,,211,,,,,,,
East West College of Natural Medicine,FL,5,1,1,,,128,0,28,0,,,,
East West College of the Healing Arts,OR,8,3,2,,,245,,,,,,,
East-West Healing Arts Institute,WI,3,3,2,,,40,,,,,,,
East-West University,IL,3,1,1,34776,34776,555,0,0,91,,,,
Eastern Arizona College,AZ,6,2,1,20985,13785,6379,,,,,,,
Eastern Center for Arts and Technology,PA,2,3,2,,,106,,,,50,100,17,61
Eastern College of Health Vocations-Little Rock,AR,5,3,2,,,205,,,,,,,
Eastern College of Health Vocations-New Orleans,LA,5,3,2,,,153,,,,,,,
Eastern Connecticut State University,CT,1,1,1,36174,24439,5287,0,59,1052,65,30,64,65
Eastern Florida State College,FL,5,1,1,,,15931,0,0,0,,,,
Eastern Gateway Community College,OH,3,2,1,,,3182,,,,,,,
Eastern Hills Academy of Hair Design,OH,3,2,2,,,58,,,,,,,
Eastern Idaho Technical College,ID,7,2,1,,,686,,,,,,,
Eastern Illinois University,IL,3,1,1,40959,23979,8913,0,585,2108,62,27,59,64
Eastern International College-Belleville,NJ,2,1,1,,,216,0,0,0,,,,
Eastern International College-Jersey City,NJ,2,1,1,,,217,0,0,0,,,,
Eastern Iowa Community College District,IA,4,2,1,,,8143,,,,,,,
Eastern Kentucky University,KY,5,1,1,29276,19748,16305,21,700,2466,60,39,58,61
Eastern Maine Community College,ME,1,2,1,18344,15644,2613,,,,66,53,65,68
Eastern Mennonite University,VA,5,1,1,43660,43660,1695,0,97,294,65,33,63,67
Eastern Michigan University,MI,3,1,1,37548,21505,22401,26,1282,3249,64,35,62,66
Eastern Nazarene College,MA,1,1,1,41172,41172,1211,0,57,234,56,31,52,59
Eastern New Mexico University-Main Campus,NM,6,1,1,22410,16635,5879,0,192,698,63,46,77,52
Eastern New Mexico University-Roswell Campus,NM,6,2,1,16855,14455,3303,,,,,,,
Eastern New Mexico University-Ruidoso Campus,NM,6,2,1,,,816,,,,,,,
Eastern Oklahoma County Technology Center,OK,6,3,2,,,519,,,,,,,
Eastern Oklahoma State College,OK,6,2,1,16877,13260,1673,,,,,,,
Eastern Oregon University,OR,8,1,1,31621,21552,3653,0,89,698,67,42,61,71
Eastern School of Acupuncture and Traditional Medicine,NJ,2,2,2,,,58,,,,,,,
Eastern Shore Community College,VA,5,2,1,,,839,,,,,,,
Eastern Suffolk BOCES-Practical Nursing Program,NY,2,3,2,,,346,,,,86,83,90,85
Eastern University,PA,2,1,1,44200,44200,3762,24,401,497,64,39,59,67
Eastern Virginia Medical School,VA,5,1,1,,,1049,124,287,0,,,,
Eastern Washington University,WA,8,1,1,35050,21956,13453,37,495,2125,80,38,75,83
Eastern West Virginia Community and Technical College,WV,5,2,1,,,914,,,,,,,
Eastern Wyoming College,WY,7,2,1,17258,13274,1704,,,,,,,
Eastfield College,TX,6,2,1,,,15112,,,,,,,
